tag,pattern,response,Sentiment
user,"For some reason, I look at my phone, and in no time, five hours has passed. During those five hours, Im playing games and trying to find out how to make my phone fun to use so I dont feel like I wasted my time trying to improve my phones performance in my life.",,negative
user,"Me and my girlfriend just broke up. She said she loves me but is not in love anymore. This came out of nowhere. We seemed so happy together.
It all started when she went to Missouri to visit her family. The first week she was there she was fine then once she went to this one sisters house everything changed. Thats when she told me she loved me but was not in love with me anymore. I thought maybe it was just because she missed her family and she just wanted to be home because she told me that she could not leave them again.
Then she told me to come to her in Missouri. So thats what I did. I quit my job I dropped everything, said goodbye to my family in Florida and drove 15 straight hours to be with her.
Once I got there everything was fine again.  She apologized for everything and said she didnt mean any of it then we were good for about a week. Then she went back to saying she didnt love me anymore and had no feelings for me.
The only thing that really gets me and makes me not want to accept this is that now she is pregnant. This wasnt an accident. We were trying to get pregnant, so all this is hard to accept. I love her so much. I have never been bad to her. Ive treated her the best I can. I wanted her to be my wife. I was going to propose to her when she got back. Now Im losing my family and my mind. I dont know what to do.",,neutral
user,"My exfianc whom I am still seeing left me because of the pressure from all three of his teenage daughters. They wanted him to try to work it out with their mom his exgirlfriend of 20 years. He and I split three months ago, but I have been seeing him pretty regularly despite the fact that he is living back with his exgirlfriend and kids. He is coexisting for the kids and fighting all the time with his exgirlfriend. His daughters dont want their dad with me because my two boys grown adults and on their own now had bad reputations and issues with drugs. His daughters say it is embarrassing for him to be with me. He and I had an absolutely amazing relationship and connect on so many levels. He is getting a lot of pressure from his family and his longtime friends to do the right thing and stay with his exgirlfriend for the kids. He says he wants me to wait. We were going get married last year. He bought me a 1000 dress, we had invitations made, and everything set up, but then his girls told him theyd never speak to him again if he married me. He says hes trying to mend his relationship with them.",,positive
relationship-b,"I find that I imagine things sexually, and I hate it because it puts strain on my relationship. I feel helpless and guilty. I want it to go away, and I want to make my woman happy again.","Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
user,We have been fighting a lot and have 3 kids but we both want to stay together. I need some help to save our family.,,neutral
user,"My issue isnt resisting angry urges its the anger itself. My rage is extreme and vastly disproportionate to the direct stressor. It causes violent thoughts, but I never act. I stay lucid enough to know the rage is violent, not me. I dont want to drown myself in anger and resentment.",,positive
user,"My fianc and I have been together for 3 years and our relationship has always been good. The only issue we had was that he felt like he wasnt getting enough sexual attention from me. 

I recently found out he cheated on me with another women.  He says he wants his family back but Im confused on what to do.  Is it possible for us to get past the cheating, or should I just move on?",,positive
self-esteem-A,"For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me","A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
angermanagement-a,"i need answers to my angry, possessiveness, and urges","Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
griefandloss,How do I find happiness after my boyfriend passed away?,"Y'know, to see soemeone you've loved and care for pass on must make you want to cry. And, may I say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.And then, after about a week or so, it will help greatly.|I am so sorry to hear about your loss. They must have been very special to you and it definitely makes sense that you are having a hard time with it. A possibility is a support group for bereavement and loss. Many are free.Â I wish you the best towards healing your heart.|Death and grief bring up so many painful reminders of relationships--what they could have been, never were, and what was lost. Please take some time to yourself to recope with it.",positive
self-esteem-B,"Im in my early 20s. Ive been married once, and he cheated on me. Ever since then, Ive felt ugly no matter what. Im engaged, and I still feel ugly. I dont like to take pictures of myself.","Have you spoken to your health care provider about your situation? You may not have a medical issue. Â  A lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.|I also want to note that we, as a society, are especially judgemental about how people present themselves. Do you have anything specific in mind which could've led to this?|I get how you feel; you wish your body looked different and you're embarrassed that you may tried to make it look different and people may notice, has any specific incident led to this?",negative
angermanagement-a,How can I control myself and my anger?,"Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",negative
user,My husband cheated on me and it hurt me very bad. It was a time when my health was poor. Im have a hard time moving on.,,negative
goodbye,cya,Talk to you later!|Bye!|Goodbye!,negative
user,"Im in a relationship, but I feel like Im always putting more into it and not getting reciprocated. My ex told me that I will never find anyone else, and thats lingering in the back of my mind.",,positive
griefandloss,I just lost my grandpa,"Y'know, to see soemeone you've loved and care for pass on must make you want to cry. And, may I say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.And then, after about a week or so, it will help greatly.|I am so sorry to hear about your loss. They must have been very special to you and it definitely makes sense that you are having a hard time with it. A possibility is a support group for bereavement and loss. Many are free.Â I wish you the best towards healing your heart.|Death and grief bring up so many painful reminders of relationships--what they could have been, never were, and what was lost. Please take some time to yourself to recope with it.",negative
family-conflict,"No matter what I do, my mom will almost always find something wrong with it","Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",negative
angermanagement-b,How can I help my boyfriends anger issues?,"A lot of times the anger someone expresses is from feeling a deep level hurt within themselves.A surface situation, like, a store told you they'd have delivery of a certain item by Tuesday, and when that particular Tuesday comes, the store doesn't have what they told you they would, and you are furious.The fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. Do you think it might be related to something like this?|It sounds to me like they are going through something, and I think you understand that. You might feel very helpless, sad, and disrespected at the same time. You can let him know when you feel disrespected, and what's not okay with you|First, let me extend my compassion to both of you,it sounds like you have a lot on your plates. Childhood trauma and past negative effects may lead to situations like this, do you hav something like this in mind which may have happened?",negative
user,"Im going through some things with my feelings and myself. I barely sleep and I do nothing but think about how Im worthless and how I shouldnt be here.
   Ive never tried or contemplated suicide. Ive always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,negative
user,"Is it normal for people to cry during therapy, or is it just me?",,negative
user,"My fianc and I have been together for 3 years and our relationship has always been good. The only issue we had was that he felt like he wasnt getting enough sexual attention from me.    I recently found out he cheated on me with another women. He says he wants his family back but Im confused on what to do. Is it possible for us to get past the cheating, or should I just move on?",,positive
greetings,hello,"Hello! How are you today!|Hey! What's up|Hey, How are you feeling today",positive
